date,code,name,city,county,fips,zipcode,x,y,confirmed_cases,new_confirmed_cases,active_cases,released_cases,resolved_cases,deaths,new_deaths
8/25/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,1769,2,,46,,5,0
8/26/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,1908,139,,46,,5,0
8/27/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,1909,1,,46,,5,0
8/28/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,1917,8,,46,,5,0
8/29/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,1917,0,,47,,5,0
8/30/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,1917,0,,48,,5,0
8/31/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,1925,8,,48,,5,0
9/1/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,2089,164,,48,,5,0
9/2/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,2105,16,,48,,5,0
9/3/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,2172,67,,48,,5,0
9/4/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,2237,65,,48,,5,0
9/5/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,2238,1,,48,,5,0
9/6/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,2238,0,,49,,5,0
9/7/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,2238,0,,49,,5,0
9/8/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,2248,10,,50,,5,0
9/9/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,2267,19,,50,,5,0
9/10/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,2268,1,,51,,5,0
9/11/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,2278,10,,51,,5,0
9/12/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,2279,1,,60,,5,0
9/13/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,2280,1,,60,,5,0
